Player,Team,Season,Position,Minutes,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals_Added,player_id
Kervin Arriaga,MIN,2024,CB,1011,-0.15,0.07,0.45,0.11,0.02,0.22,0.71,1014
Kipp Keller,CIN,2024,CB,945,0.11,0.11,0.37,-0.08,0.17,0.01,0.69,734
Bongokuhle Hlongwane,MIN,2024,W,2144,-0.4,-0.21,0.03,-0.78,1.51,0.54,0.69,239
Mathías Laborda,VAN,2024,CB,2166,-0.28,-0.1,0.29,-0.08,0.53,0.32,0.69,131
Yamil Asad,CIN,2024,FB,975,0.13,0.11,-0.09,0.02,0.23,0.28,0.69,736
Alex Roldan,SEA,2024,FB,2542,-0.28,0.14,0.92,-0.19,0.02,0.06,0.68,339
Benjamin Cremaschi,MIA,2024,CM,1294,0.13,0.0,0.28,-0.52,0.55,0.21,0.66,517
Garrison Tubbs,DCU,2024,CB,655,0.02,0.22,0.42,-0.27,0.29,-0.03,0.65,889
Agustín Ojeda,NYC,2024,W,1103,0.28,-0.08,0.01,-0.19,0.44,0.19,0.65,287
Paul Rothrock,SEA,2024,W,1476,0.18,0.38,-0.01,-0.49,0.35,0.23,0.64,715
Sam Adeniran,"PHI, STL",2024,ST,873,0.05,-0.14,-0.07,0.13,0.53,0.15,0.64,687
Ali Ahmed,VAN,2024,FB,1519,0.8,-0.03,0.15,-0.56,0.19,0.08,0.64,621
Malachi Jones,NYC,2024,W,579,0.28,0.04,0.07,-0.28,0.43,0.1,0.63,827
Jacob Murrell,DCU,2024,ST,1113,-0.17,-0.07,-0.16,0.03,0.7,0.3,0.63,826
Sergi Palencia,LAFC,2024,FB,2563,-0.03,0.02,0.41,0.55,-0.12,-0.22,0.61,275
Daniel Lovitz,NSH,2024,FB,2545,-0.21,0.2,0.83,0.47,-0.41,-0.29,0.59,268
Erik Sviatchenko,HOU,2024,CB,2713,-0.21,0.26,-0.12,-0.48,0.57,0.56,0.59,161
Sebastián Driussi,ATX,2024,AM,2549,-0.5,0.33,-0.09,0.41,0.23,0.21,0.58,4
Noah Eile,NYRB,2024,CB,2739,-0.05,-0.1,-0.01,0.8,-0.01,-0.06,0.58,332
Amahl Pellegrino,SJE,2024,W,1903,-0.56,-0.28,-0.0,-0.47,1.42,0.44,0.56,135
Chris Mueller,CHI,2024,W,1520,0.86,0.11,-0.43,-0.08,0.15,-0.04,0.56,200
Célio Pompeu,STL,2024,W,1404,0.51,-0.1,0.15,0.6,-0.52,-0.07,0.56,522
Asier Illarramendi,FCD,2024,CM,2200,-0.22,-0.33,0.94,0.51,-0.45,0.1,0.56,285
Ethan Bartlow,HOU,2024,CB,975,0.18,0.04,0.66,0.12,-0.33,-0.13,0.54,492
Josh Yaro,STL,2024,CB,915,-0.12,0.09,0.63,-0.11,0.09,-0.04,0.54,622
George Campbell,MTL,2024,CB,2462,0.16,0.05,0.07,0.82,-0.32,-0.26,0.53,352
Marcelo Weigandt,MIA,2024,FB,2268,-0.15,-0.2,0.84,-0.16,0.21,-0.02,0.53,395
Yeimar Gómez Andrade,SEA,2024,CB,2769,0.09,0.14,0.45,-0.16,-0.12,0.11,0.51,159
Andrés Perea,NYC,2024,DM,1446,-0.2,0.28,-0.33,-0.36,1.03,0.08,0.5,243
Josef Martínez,MTL,2024,ST,1528,-0.57,-0.19,-0.2,-0.34,1.42,0.37,0.5,89
Jesús Bueno,PHI,2024,CM,738,-0.03,0.03,0.14,-0.3,0.47,0.19,0.49,446
Cory Burke,NYRB,2024,ST,404,-0.38,-0.05,-0.02,0.22,0.68,0.03,0.49,271
Ranko Veselinović,VAN,2024,CB,3092,0.09,0.07,0.81,-0.4,-0.02,-0.08,0.47,214
Michael Edwards,COL,2024,CB,236,-0.03,0.03,0.12,-0.05,0.33,0.04,0.44,580
Lassi Lappalainen,MTL,2024,FB,395,0.13,0.01,0.16,0.02,-0.04,0.15,0.43,183
Sergii Kryvtsov,MIA,2024,CB,1572,0.2,0.13,0.34,-0.04,-0.17,-0.04,0.42,164
Wilder Cartagena,ORL,2024,DM,2499,0.43,-0.03,-0.35,0.76,-0.36,-0.03,0.42,302
Jack Maher,NSH,2024,CB,2721,0.02,-0.28,0.75,0.12,-0.02,-0.19,0.41,169
Amine Bassi,HOU,2024,AM,2788,0.73,0.04,-0.23,0.08,-0.16,-0.05,0.4,254
Danny Musovski,SEA,2024,ST,656,0.13,-0.07,-0.16,0.13,0.35,0.01,0.4,388
Nacho Gil,NER,2024,W,737,0.01,-0.08,0.18,0.11,0.18,-0.01,0.39,366
Facundo Torres,ORL,2024,W,2951,-0.78,0.13,-0.59,-0.0,1.31,0.32,0.38,49
John Klein,STL,2024,W,630,-0.07,-0.03,0.1,-0.07,0.34,0.11,0.38,730
Kamal Miller,POR,2024,CB,2229,-0.65,-0.01,1.27,0.14,-0.18,-0.19,0.38,177
Derrick Williams,ATL,2024,CB,2543,0.43,-0.09,-0.01,-0.3,0.26,0.08,0.37,350
Pedro Vite,VAN,2024,CM,2233,-0.16,-0.06,0.75,0.37,-0.56,0.01,0.37,229
Robert Castellanos,SKC,2024,CB,1166,-0.07,0.11,-0.06,-0.0,0.3,0.08,0.37,606
Moïse Bombito,COL,2024,CB,1762,-0.73,0.09,0.72,0.13,0.0,0.16,0.36,1061
Lawrence Ennali,HOU,2024,W,53,0.32,-0.01,-0.02,-0.01,0.03,0.05,0.36,297
Georgi Minoungou,SEA,2024,W,424,0.45,-0.04,-0.02,-0.04,0.02,-0.0,0.36,711
Philip Quinton,"CLB, RSL",2024,CB,1507,-0.21,0.13,0.74,-0.17,-0.2,0.06,0.36,707
Déiber Caicedo,VAN,2024,W,154,0.03,0.01,-0.06,-0.09,0.27,0.19,0.36,400
Luis Abram,ATL,2024,CB,1308,-0.03,0.1,0.32,0.12,-0.17,0.01,0.35,150
Max Arfsten,CLB,2024,FB,2184,0.86,0.13,-0.21,-1.8,0.76,0.61,0.35,700
Javain Brown,"VAN, RSL",2024,CB,1463,0.02,-0.17,0.5,-0.05,-0.06,0.11,0.34,507
Shaq Moore,NSH,2024,FB,1883,-0.21,0.4,-0.11,-0.14,0.21,0.18,0.34,148
Tyrese Spicer,TOR,2024,FB,1204,0.19,0.14,-0.27,-0.29,0.43,0.14,0.34,809
Arnaud Souquet,CHI,2024,CB,2113,0.14,0.07,0.42,0.16,-0.36,-0.09,0.34,210
Chidozie Awaziem,CIN,2024,CB,599,0.1,0.07,-0.43,0.42,0.16,0.01,0.34,94
Jalen Neal,LAG,2024,CB,1562,0.04,0.24,-0.25,0.73,-0.25,-0.16,0.33,534
Bret Halsey,CIN,2024,FB,611,0.07,-0.05,0.17,-0.35,0.36,0.11,0.33,660
Martín Cáceres,LAG,2024,CB,1214,0.02,0.15,0.41,-0.12,-0.15,0.02,0.32,238
Joaquín Fernández,SKC,2024,CB,122,0.02,0.01,0.22,0.0,0.01,0.03,0.29,108
