Player,Team,Season,Position,Minutes,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals_Added,player_id
Matthew Bell,RSL,2024,W,24,0.05,-0.0,0.0,-0.04,-0.01,-0.01,-0.01,822
Nicholas Scardina,CLT,2024,W,7,-0.01,-0.0,-0.0,0.01,-0.01,-0.0,-0.01,859
Adolfo Enriquez,POR,2024,AM,10,-0.01,-0.0,0.0,0.01,-0.01,-0.01,-0.01,1200
Sean Nealis,NYRB,2024,CB,2546,-0.16,0.2,-0.09,0.01,-0.11,0.14,-0.01,294
Piero Elias,NYC,2024,W,5,-0.0,-0.0,-0.0,-0.0,-0.01,-0.0,-0.01,1202
Isaiah Foster,CIN,2024,FB,9,-0.0,0.0,-0.0,-0.01,0.0,-0.0,-0.01,685
Aidan O'Connor,NYRB,2024,CB,37,-0.01,0.0,0.02,-0.01,-0.01,-0.0,-0.01,885
Bryant Farkarlun,ATX,2024,W,12,0.01,-0.0,-0.01,0.0,-0.01,-0.01,-0.01,830
Hugo Bacharach,MIN,2024,CB,104,-0.01,0.01,-0.03,0.05,-0.02,-0.01,-0.01,817
Nikola Petkovic,CLT,2024,CM,578,0.07,-0.08,-0.09,-0.2,0.2,0.09,-0.01,372
Zavier Gozo,RSL,2024,ST,19,0.01,-0.0,0.01,0.01,-0.03,-0.01,-0.01,777
Jack Lynn,ORL,2024,ST,322,-0.18,-0.03,-0.05,-0.33,0.57,0.02,-0.01,748
Lachlan Brook,RSL,2024,W,279,-0.17,-0.03,0.12,-0.03,-0.09,0.18,-0.02,475
Júnior Moreno,HOU,2024,DM,33,-0.0,0.01,-0.02,0.02,-0.01,0.0,-0.02,607
Lucas Bartlett,DCU,2024,CB,3150,-0.39,0.17,-0.95,0.16,0.77,0.22,-0.02,735
Caden Glover,STL,2024,ST,83,0.08,-0.03,-0.01,0.02,-0.11,0.03,-0.02,679
Matthew Edwards,ATL,2024,CB,6,-0.0,0.0,-0.01,-0.01,0.0,-0.0,-0.02,841
Conner Antley,DCU,2024,FB,507,-0.01,-0.22,0.16,0.1,-0.06,-0.0,-0.02,703
Emanuel Reynoso,MIN,2024,AM,36,-0.01,-0.01,-0.01,0.03,0.0,-0.02,-0.02,1216
Cole Mrowka,CLB,2024,AM,5,-0.0,-0.01,-0.0,-0.0,-0.01,-0.0,-0.02,701
Jon Bell,SEA,2024,CB,558,0.01,-0.0,-0.08,0.1,-0.05,-0.0,-0.02,651
Rory O'Driscoll,MIN,2024,ST,5,-0.01,-0.0,-0.0,0.01,-0.01,-0.0,-0.02,1219
Luke Brennan,ATL,2024,W,207,-0.15,0.03,-0.08,0.06,0.18,-0.07,-0.02,845
London Aghedo,CIN,2024,CB,20,0.0,-0.0,-0.01,-0.01,-0.0,-0.0,-0.03,869
Marcelo Silva,RSL,2024,CB,212,0.04,-0.0,-0.02,-0.07,-0.01,0.03,-0.03,375
Kage Romanshyn Jr,MIN,2024,W,16,-0.0,-0.0,-0.01,0.0,-0.01,-0.01,-0.03,1223
Jeremy Garay,DCU,2024,ST,19,-0.0,-0.0,0.02,0.0,-0.04,-0.01,-0.03,689
Anthony Ramirez,FCD,2024,DM,13,-0.0,0.0,-0.01,-0.01,-0.0,-0.0,-0.03,1225
Omar Valencia,NYRB,2024,CM,7,-0.01,0.0,-0.01,-0.0,-0.0,-0.0,-0.03,1226
Jonathan Mensah,NER,2024,CB,331,-0.02,-0.01,0.24,-0.03,-0.14,-0.07,-0.03,304
Alexandros Katranis,RSL,2024,FB,2226,0.0,0.1,0.06,-0.28,-0.05,0.13,-0.04,338
Nick Hagglund,CIN,2024,CB,510,0.06,0.03,0.01,-0.06,-0.05,-0.03,-0.04,635
Diogo Gonçalves,RSL,2024,AM,628,-0.27,0.18,0.09,0.15,-0.16,-0.03,-0.04,51
Brendan McSorley,STL,2024,ST,14,0.0,-0.01,-0.0,-0.0,-0.02,-0.01,-0.05,1231
Jean Mota,MIA,2024,CM,32,0.0,0.0,-0.02,-0.02,-0.0,-0.01,-0.05,1232
Omari Glasgow,CHI,2024,AM,49,-0.05,-0.01,0.04,-0.02,0.01,-0.03,-0.05,1233
Patrick Weah,MIN,2024,ST,53,0.01,0.07,0.0,-0.02,-0.08,-0.04,-0.05,637
Morris Duggan,MIN,2024,CB,61,-0.0,0.01,-0.02,-0.01,-0.01,-0.01,-0.05,855
Jay Joshua Herdman,VAN,2024,W,15,-0.0,-0.03,-0.01,-0.0,-0.01,-0.0,-0.05,1236
Christopher Olney Jr.,PHI,2024,CM,27,0.0,-0.0,-0.02,-0.02,-0.01,-0.01,-0.05,774
Mohamed Farsi,CLB,2024,FB,2099,-0.13,0.82,-0.48,-1.89,1.43,0.19,-0.05,402
Mikkel Desler,ATX,2024,FB,545,0.04,0.01,0.08,-0.28,0.03,0.07,-0.05,313
Alessandro Biello,MTL,2024,CM,24,-0.03,0.01,-0.0,0.01,-0.02,-0.01,-0.05,828
Joey Skinner,NSH,2024,W,14,-0.01,-0.0,-0.03,0.01,-0.01,-0.01,-0.05,797
Johnny Russell,SKC,2024,W,1931,0.12,0.07,0.22,0.04,-0.61,0.11,-0.05,122
Alonso Jiménez,ATX,2024,DM,32,0.0,-0.0,-0.02,-0.03,-0.0,-0.01,-0.06,1243
Chris Donovan,PHI,2024,ST,511,-0.12,-0.02,0.06,-0.26,0.33,-0.05,-0.06,617
Tucker Lepley,LAG,2024,DM,56,-0.0,-0.01,0.01,0.0,-0.04,-0.02,-0.06,819
Carl Sainté,FCD,2024,DM,186,-0.04,-0.0,0.22,-0.15,-0.04,-0.04,-0.06,833
James Sands,NYC,2024,DM,2931,-0.08,-0.24,0.51,0.46,-0.27,-0.42,-0.06,110
Sam Adekugbe,VAN,2024,FB,862,-0.26,-0.04,-0.08,0.11,0.2,0.01,-0.06,134
Alenis Vargas,SKC,2024,W,736,0.17,0.02,0.08,0.02,-0.26,-0.11,-0.06,882
Tristan Blackmon,VAN,2024,CB,2117,0.06,0.14,-0.64,0.33,0.06,-0.02,-0.07,186
Jared Stroud,DCU,2024,W,2749,-0.36,0.07,-0.06,-0.36,0.3,0.34,-0.07,476
Lamine Diack,COL,2024,W,43,-0.02,-0.0,0.02,0.01,-0.05,-0.02,-0.07,1252
Rubén Ramos Jr.,LAG,2024,ST,19,-0.03,-0.0,-0.01,-0.0,-0.02,-0.01,-0.07,1253
Paxton Pomykal,FCD,2024,CM,10,-0.02,0.0,-0.02,-0.02,-0.0,-0.0,-0.07,111
Charles Sharp,TOR,2024,ST,36,-0.02,-0.0,0.03,-0.02,-0.03,-0.02,-0.07,1255
Malcolm Fry,NER,2024,ST,39,-0.06,-0.01,0.01,-0.02,0.02,-0.02,-0.07,794
Lukas MacNaughton,NSH,2024,CB,455,-0.13,-0.01,-0.18,0.02,0.14,0.1,-0.07,640
Sunusi Ibrahim,MTL,2024,ST,1181,-0.4,-0.13,0.18,-0.18,0.5,-0.04,-0.07,370
Michael Baldisimo,SJE,2024,CM,32,-0.0,-0.02,-0.04,-0.0,-0.01,-0.01,-0.07,631
Nicolas Fleuriau Chateau,VAN,2024,FB,50,0.04,0.0,0.01,-0.09,-0.02,-0.01,-0.07,1260
Monsef Bakrar,NYC,2024,ST,1550,-0.23,-0.11,-0.03,-0.99,0.87,0.42,-0.08,341
Teemu Pukki,MIN,2024,ST,1064,-0.82,-0.09,-0.12,-0.04,0.44,0.53,-0.08,19
Roald Mitchell,NYRB,2024,ST,27,-0.03,-0.0,-0.0,0.01,-0.04,-0.02,-0.08,698
Idan Toklomati,CLT,2024,W,26,-0.02,-0.0,-0.01,-0.01,-0.02,-0.01,-0.09,361
Luis Müller,LAFC,2024,W,23,-0.02,-0.0,-0.06,-0.02,-0.01,0.03,-0.09,866
Stiven Jimenez,CIN,2024,AM,13,-0.0,-0.06,-0.01,-0.0,-0.01,-0.01,-0.09,739
Richie Laryea,TOR,2024,FB,1018,-0.09,0.39,-0.11,-0.55,0.27,-0.0,-0.09,87
Tega Ikoba,POR,2024,ST,16,-0.07,-0.0,-0.01,-0.02,0.01,-0.01,-0.09,634
Emil Forsberg,NYRB,2024,W,1512,-0.29,-0.04,-0.1,0.92,-0.73,0.14,-0.09,6
Nimfasha Berchimas,CLT,2024,W,40,-0.05,-0.0,-0.0,-0.01,-0.03,0.0,-0.09,632
Nathan Saliba,MTL,2024,CM,1846,0.11,-0.14,0.7,-0.21,-0.53,-0.01,-0.09,567
Lewis O'Brien,LAFC,2024,CM,871,-0.01,-0.04,0.3,-0.09,-0.17,-0.08,-0.1,48
Tommy Thompson,SJE,2024,FB,140,-0.0,-0.0,-0.01,-0.03,-0.06,0.01,-0.1,717
David Schnegg,DCU,2024,FB,138,-0.06,0.01,-0.16,-0.0,0.08,0.04,-0.1,308
Yutaro Tsukada,ORL,2024,W,38,-0.08,-0.0,0.03,-0.03,-0.0,-0.02,-0.1,840
Jackson Yueill,SJE,2024,DM,2688,-0.28,-0.01,0.01,0.39,-0.03,-0.18,-0.1,132
Mykhi Joyner,STL,2024,W,50,-0.03,-0.01,-0.0,-0.01,-0.04,-0.03,-0.11,1277
Gastón Giménez,CHI,2024,DM,1940,0.25,-0.29,0.9,-0.12,-0.63,-0.23,-0.11,60
Brandon Cambridge,CLT,2024,W,48,0.05,-0.01,-0.03,-0.08,-0.02,-0.02,-0.11,665
Taha Habroune,CLB,2024,AM,120,0.01,-0.01,0.07,-0.07,-0.1,-0.02,-0.11,782
Mohammed Sofo,NYRB,2024,W,33,-0.05,-0.0,-0.01,-0.06,0.03,-0.02,-0.11,535
Osman Bukari,ATX,2024,W,676,0.39,-0.01,-0.05,-0.35,0.06,-0.16,-0.12,123
Kayden Pierre,SKC,2024,FB,498,0.19,0.02,-0.12,-0.07,-0.09,-0.05,-0.12,1283
Simon Becher,STL,2024,ST,610,-0.35,0.19,-0.12,-0.22,0.53,-0.15,-0.12,547
Édier Ocampo,VAN,2024,FB,201,-0.0,0.04,-0.01,-0.25,0.06,0.05,-0.12,403
Preston Judd,SJE,2024,ST,858,0.2,-0.04,-0.17,0.24,-0.21,-0.15,-0.12,719
Michael Halliday,ORL,2024,FB,155,-0.11,0.0,-0.09,-0.0,0.06,0.02,-0.12,499
Mauricio Cuevas,LAG,2024,FB,429,-0.05,-0.03,0.23,-0.46,0.24,-0.06,-0.13,566
Moses Nyeman,MIN,2024,DM,163,-0.0,0.0,0.05,-0.08,-0.06,-0.04,-0.13,543
Victor Eriksson,MIN,2024,CB,198,-0.11,0.02,0.03,-0.06,0.0,-0.01,-0.13,1290
Jamar Ricketts,SJE,2024,W,45,-0.03,-0.01,-0.05,-0.0,-0.03,-0.02,-0.13,820
Vitor Costa,SJE,2024,FB,2321,-0.23,0.1,0.4,-0.71,0.17,0.14,-0.13,391
Jeorgio Kocevski,ORL,2024,DM,214,0.02,-0.01,0.03,0.03,-0.12,-0.09,-0.13,861
Marino Hinestroza,CLB,2024,AM,427,-0.1,-0.04,-0.06,-0.35,0.3,0.11,-0.14,267
Marlon,LAFC,2024,CB,152,-0.06,-0.03,-0.05,-0.03,-0.0,0.04,-0.14,81
Dominique Badji,DCU,2024,ST,349,0.08,-0.06,0.07,-0.6,0.34,0.03,-0.14,595
Cedric Teuchert,STL,2024,ST,840,0.15,-0.11,-0.04,0.16,-0.65,0.34,-0.14,105
Noel Caliskan,RSL,2024,DM,232,-0.03,-0.0,-0.05,-0.01,-0.04,-0.01,-0.14,732
Shanyder Borgelin,MIA,2024,ST,184,0.06,-0.01,-0.02,0.03,-0.16,-0.03,-0.15,1299
Jack Panayotou,NER,2024,W,289,0.16,-0.01,-0.03,-0.01,-0.18,-0.07,-0.15,699
Julian Gaines,NSH,2024,FB,250,-0.06,-0.0,0.03,-0.07,-0.01,-0.03,-0.15,860
Benji Michel,RSL,2024,ST,39,0.03,-0.0,-0.05,-0.06,-0.04,-0.02,-0.15,513
Sebastian Anderson,COL,2024,FB,588,-0.05,0.04,-0.12,0.03,0.01,-0.05,-0.15,561
Pablo Ruiz,RSL,2024,AM,194,-0.1,-0.04,-0.05,0.0,-0.02,0.06,-0.15,136
Brian Gutiérrez,CHI,2024,W,2668,0.14,-0.0,-0.72,0.97,-0.51,-0.04,-0.15,142
Sota Kitahara,SEA,2024,FB,160,-0.0,0.01,0.0,-0.09,-0.05,-0.03,-0.16,807
Alejandro Bran,MIN,2024,CM,476,-0.09,0.21,-0.02,-0.15,-0.09,-0.04,-0.17,594
Eugene Ansah,FCD,2024,AM,533,0.07,-0.07,-0.11,-0.26,0.23,-0.03,-0.17,206
Lawson Sunderland,MIA,2024,CM,214,0.01,-0.01,0.02,-0.13,-0.01,-0.05,-0.17,888
Jake Nerwinski,STL,2024,FB,663,-0.15,0.06,0.09,-0.05,-0.11,-0.01,-0.17,472
Jackson Travis,COL,2024,FB,539,0.04,0.0,0.2,-0.27,-0.08,-0.07,-0.17,697
Érik Dueñas,LAFC,2024,CM,452,-0.13,-0.01,0.26,-0.16,-0.04,-0.1,-0.17,528
Héctor Jiménez,ATX,2024,FB,664,-0.04,0.04,-0.18,0.19,-0.14,-0.04,-0.17,718
Julián Fernández,NYC,2024,W,808,0.31,0.0,0.13,-0.53,-0.16,0.06,-0.18,247
Efrain Morales,ATL,2024,CB,288,-0.01,-0.03,-0.15,-0.09,0.05,0.06,-0.18,666
Caden Clark,"MIN, MTL",2024,FB,1915,-0.78,-0.2,0.22,-0.18,0.73,0.04,-0.18,398
Amar Sejdić,NSH,2024,DM,404,0.01,-0.02,-0.1,0.02,-0.14,0.05,-0.18,759
Nemanja Radoja,SKC,2024,DM,2375,0.19,0.05,-0.48,0.09,0.04,-0.06,-0.18,66
Tate Schmitt,HOU,2024,FB,527,-0.08,0.02,-0.29,0.01,0.05,0.11,-0.18,559
Matías Rojas,MIA,2024,W,901,0.01,-0.03,-0.19,0.22,-0.15,-0.04,-0.18,303
Brendan Hines-Ike,ATX,2024,CB,2516,-0.32,-0.62,0.65,0.17,-0.04,-0.04,-0.19,521
Rasmus Alm,STL,2024,W,962,-0.28,-0.1,0.11,0.22,0.02,-0.17,-0.19,436
Felipe Carballo,NYRB,2024,CM,503,-0.02,-0.26,-0.06,0.14,-0.05,0.06,-0.19,96
Chris Durkin,STL,2024,DM,2577,-0.39,0.12,0.39,-0.31,-0.12,0.12,-0.2,320
Duncan McGuire,ORL,2024,ST,1841,-0.85,-0.24,-0.35,-0.22,1.41,0.05,-0.2,99
Lorenzo Insigne,TOR,2024,AM,1513,0.27,-0.19,-0.08,-0.23,-0.21,0.23,-0.21,2
Dawid Bugaj,MTL,2024,FB,179,0.04,0.01,0.05,-0.27,-0.02,-0.02,-0.21,480
Tyger Smalls,CLT,2024,W,322,0.06,-0.05,0.0,0.04,-0.2,-0.07,-0.21,870
Bode Hidalgo,RSL,2024,FB,1631,-0.08,0.06,-0.02,0.38,-0.35,-0.2,-0.21,582
Sebastian Berhalter,VAN,2024,CM,2109,-0.86,0.27,-0.16,0.72,-0.28,0.11,-0.21,435
DeJuan Jones,"CLB, NER",2024,FB,2057,-0.22,0.35,0.49,-1.36,0.5,0.02,-0.21,170
Isaiah Jones,NSH,2024,CM,27,-0.2,-0.0,0.0,0.01,-0.02,-0.01,-0.21,801
João Pedro,CLT,2024,FB,512,-0.01,0.07,-0.17,0.03,-0.1,-0.03,-0.22,643
Cristian Dájome,DCU,2024,FB,2303,-0.02,-0.12,-0.03,-0.02,-0.1,0.06,-0.22,129
Bartosz Slisz,ATL,2024,DM,2706,0.23,-0.0,0.06,-0.23,-0.21,-0.06,-0.23,160
Jacen Russell-Rowe,CLB,2024,ST,1193,-0.24,-0.13,-0.17,-0.43,0.42,0.32,-0.23,669
Andrew Gutman,CHI,2024,FB,792,-0.33,0.07,-0.04,-0.2,0.16,0.11,-0.23,259
Dylan Chambost,CLB,2024,CM,628,0.03,-0.06,0.19,0.05,-0.25,-0.19,-0.24,328
Marcel Hartel,STL,2024,W,932,-0.81,0.17,0.2,0.32,-0.0,-0.12,-0.24,41
Tsiki Ntsabeleng,FCD,2024,AM,1226,-0.17,-0.02,-0.02,0.53,-0.27,-0.29,-0.24,740
Alfredo Morales,SJE,2024,DM,779,0.14,0.05,-0.27,0.06,-0.1,-0.11,-0.24,431
McKinze Gaines,"NSH, HOU",2024,W,361,0.18,-0.0,0.03,-0.22,-0.17,-0.06,-0.24,599
Dax McCarty,ATL,2024,DM,1076,0.02,-0.1,0.32,-0.01,-0.26,-0.21,-0.24,485
Nathan Ordaz,LAFC,2024,W,481,0.01,-0.06,-0.33,-0.26,0.43,-0.04,-0.25,579
Jannes Horn,STL,2024,FB,645,0.03,0.02,-0.21,-0.07,-0.03,-0.0,-0.25,441
Ayo Akinola,TOR,2024,ST,121,-0.05,0.0,-0.04,-0.02,-0.08,-0.07,-0.25,1346
Tomas Pondeca,FCD,2024,AM,131,-0.06,0.04,-0.04,-0.14,-0.03,-0.03,-0.25,858
Jules-Anthony Vilsaint,MTL,2024,AM,943,0.24,0.17,-0.0,-0.85,0.08,0.1,-0.26,672
Khiry Shelton,SKC,2024,FB,1192,-0.28,-0.01,-0.14,0.29,-0.0,-0.13,-0.26,185
Franco Negri,MIA,2024,FB,876,0.03,0.02,0.0,-0.11,-0.1,-0.11,-0.26,429
Kimani Stewart-Baynes,COL,2024,W,212,-0.33,0.0,0.03,0.01,0.11,-0.08,-0.26,821
Will Sands,"NER, CLB",2024,FB,777,-0.15,0.07,0.15,-0.35,0.02,0.0,-0.27,578
Ben Bender,CLT,2024,AM,228,-0.13,-0.02,-0.0,-0.14,0.02,0.01,-0.27,592
Fernando Álvarez,MTL,2024,CB,2396,0.09,0.26,-0.09,0.03,-0.41,-0.16,-0.27,484
Artur,HOU,2024,DM,3398,-0.29,-0.63,0.65,0.61,-0.64,0.03,-0.27,172
Henry Wingo,TOR,2024,CB,194,-0.01,0.02,-0.18,-0.04,-0.04,-0.02,-0.27,301
Boris Enow,DCU,2024,CM,348,0.02,-0.03,-0.1,-0.05,-0.13,0.01,-0.29,209
Kristian Fletcher,DCU,2024,W,338,-0.16,-0.02,-0.13,-0.17,0.11,0.08,-0.29,571
Eriq Zavaleta,LAG,2024,CB,182,0.0,-0.24,-0.06,0.02,-0.04,0.03,-0.29,709
Jayden Reid,STL,2024,FB,846,0.08,0.01,-0.01,0.08,-0.34,-0.12,-0.29,887
Nicolás Lodeiro,ORL,2024,CM,1984,-0.12,-0.57,-0.2,0.75,-0.37,0.21,-0.29,168
Maxi Moralez,NYC,2024,AM,1016,-0.13,0.03,0.05,0.3,-0.41,-0.14,-0.29,315
Griffin Dorsey,HOU,2024,FB,2962,0.57,0.14,-1.01,-1.39,0.97,0.42,-0.3,293
Malik Pinto,CIN,2024,CM,227,0.06,-0.07,0.02,-0.07,-0.15,-0.08,-0.3,837
Rodrigo Schlegel,ORL,2024,CB,2612,0.09,-0.12,-0.2,0.01,-0.19,0.1,-0.3,378
Andres Jasson,NYC,2024,FB,186,-0.03,0.07,0.04,-0.14,-0.15,-0.09,-0.3,1366
Sean Zawadzki,CLB,2024,CM,2032,0.15,0.05,0.21,0.14,-0.62,-0.24,-0.3,364
Stuart Armstrong,VAN,2024,W,163,-0.22,0.0,-0.1,-0.1,0.05,0.06,-0.3,26
Sergio Santos,CIN,2024,ST,1114,-0.65,-0.05,0.05,-0.82,1.18,-0.02,-0.31,133
Rida Zouhir,MTL,2024,CM,215,-0.06,-0.0,-0.06,-0.08,-0.06,-0.05,-0.31,650
Luca Langoni,NER,2024,W,761,0.17,0.2,-0.12,-0.07,-0.3,-0.19,-0.31,221
CJ Fodrey,ATX,2024,W,257,-0.09,-0.04,-0.02,-0.18,-0.0,0.02,-0.31,690
Nathan Fogaça,POR,2024,ST,285,-0.47,0.06,-0.06,-0.2,0.26,0.1,-0.32,1373
Jefferson Díaz,MIN,2024,CB,899,0.07,-0.02,-0.3,-0.1,-0.01,0.02,-0.33,419
Jake Girdwood-Reich,STL,2024,CM,196,-0.03,-0.04,-0.06,0.04,-0.16,-0.08,-0.33,452
Justin Reynolds,CHI,2024,FB,271,-0.01,0.01,-0.33,-0.15,0.11,0.03,-0.33,878
Dante Vanzeir,NYRB,2024,ST,2293,0.27,-0.27,0.06,-0.13,0.04,-0.3,-0.34,71
Alan Velasco,FCD,2024,W,419,0.23,-0.09,-0.01,-0.2,-0.28,0.01,-0.34,61
Victor Wanyama,MTL,2024,CM,474,-0.03,0.0,0.08,-0.19,-0.14,-0.06,-0.34,50
Bjørn Inge Utvik,VAN,2024,CB,1929,-0.04,-0.24,-1.16,0.53,0.45,0.11,-0.35,311
Nick Firmino,ATL,2024,W,204,-0.07,-0.02,-0.05,0.03,-0.18,-0.06,-0.35,852
Matt Hedges,ATX,2024,CB,1018,-0.0,0.03,-0.22,-0.13,0.0,-0.03,-0.36,273
Alexandru Matan,CLB,2024,CM,1642,0.68,-0.02,-0.31,0.02,-0.5,-0.22,-0.36,327
Dario Zuparic,POR,2024,CB,2533,0.04,0.12,-0.06,0.02,-0.43,-0.05,-0.36,138
Maren Haile-Selassie,CHI,2024,W,2288,-0.18,0.1,-0.24,0.23,-0.08,-0.2,-0.36,397
Yuya Kubo,CIN,2024,ST,2687,-0.26,-0.17,0.26,-1.23,0.7,0.34,-0.36,194
Ralph Priso,VAN,2024,DM,550,-0.01,0.0,0.21,-0.26,-0.17,-0.13,-0.36,593
Jovan Mijatović,NYC,2024,ST,338,0.04,-0.05,0.09,-0.27,-0.21,0.02,-0.37,213
Bobby Wood,NER,2024,ST,651,-0.05,-0.09,-0.17,-0.33,0.23,0.03,-0.37,334
Matt Crooks,RSL,2024,AM,2083,0.55,-0.24,-0.1,-0.17,0.03,-0.43,-0.37,124
Frankie Amaya,NYRB,2024,CM,1807,0.19,-0.02,0.11,-0.11,-0.46,-0.08,-0.37,1391
Show,FCD,2024,CM,549,0.03,-0.04,-0.06,-0.18,-0.07,-0.06,-0.37,309
Akil Watts,STL,2024,FB,1124,-0.1,-0.24,0.26,-0.19,-0.05,-0.06,-0.37,806
Tommy McNamara,NER,2024,W,224,-0.05,-0.01,-0.07,-0.04,-0.11,-0.09,-0.38,358
Oleksandr Svatok,ATX,2024,CB,476,-0.08,0.03,-0.16,-0.05,-0.06,-0.05,-0.38,457
Emiro Garcés,LAG,2024,CB,464,-0.0,-0.07,0.0,0.04,-0.24,-0.11,-0.38,497
Nelson Palacio,RSL,2024,DM,891,-0.05,-0.2,0.2,0.13,-0.33,-0.15,-0.4,408
Michael Wentzel,STL,2024,CB,208,-0.06,0.0,-0.22,-0.05,-0.04,-0.02,-0.4,865
Ousseni Bouda,SJE,2024,ST,433,-0.01,-0.06,-0.32,-0.16,0.24,-0.09,-0.4,584
Tom Pearce,MTL,2024,FB,284,-0.07,-0.01,-0.15,-0.15,-0.0,-0.03,-0.4,307
Nolan Norris,FCD,2024,CM,230,-0.16,0.01,0.01,-0.13,-0.07,-0.06,-0.41,623
Bernard Kamungo,FCD,2024,AM,1525,-0.38,0.35,0.11,-0.36,-0.06,-0.06,-0.41,729
Felipe,ORL,2024,DM,455,0.0,-0.02,-0.23,-0.13,0.06,-0.1,-0.42,560
Ryan Raposo,VAN,2024,FB,1766,-0.25,0.24,-0.05,-1.01,0.44,0.21,-0.42,552
Aaron Long,LAFC,2024,CB,2655,-0.5,-0.15,0.85,-0.29,-0.29,-0.05,-0.42,90
Miguel Berry,LAG,2024,ST,1009,-0.17,-0.14,-0.05,-0.01,0.2,-0.26,-0.42,533
Enzo Copetti,CLT,2024,ST,554,0.18,-0.05,-0.05,-0.15,-0.18,-0.17,-0.42,1407
Tyler Boyd,NSH,2024,W,1246,-0.15,0.14,-0.2,-0.03,0.02,-0.21,-0.42,175
Kyle Smith,ORL,2024,FB,1357,-0.22,-0.21,0.33,0.09,-0.28,-0.15,-0.43,451
Aziel Jackson,"CLB, STL",2024,AM,1298,-0.57,0.2,-0.12,-0.2,0.06,0.21,-0.43,639
Kei Kamara,LAFC,2024,ST,1168,0.07,-0.21,0.09,0.35,-0.6,-0.12,-0.43,710
Deybi Flores,TOR,2024,CM,2343,-0.36,-0.16,0.7,0.19,-0.48,-0.32,-0.43,342
Ian Fray,MIA,2024,FB,765,0.09,-0.17,-0.16,-0.25,0.03,0.03,-0.43,591
Felipe Hernández,SKC,2024,CM,446,-0.08,0.0,-0.12,-0.17,-0.03,-0.03,-0.43,1414
Alonso Coello,TOR,2024,CM,1696,-0.19,-0.03,-0.07,0.46,-0.34,-0.27,-0.43,686
Tyler Wolff,ATL,2024,W,594,0.02,-0.04,0.0,-0.26,-0.11,-0.04,-0.44,553
Tomás Avilés,MIA,2024,CB,2449,-0.02,-0.14,0.17,-0.14,-0.24,-0.07,-0.44,369
Gerardo Valenzuela,CIN,2024,ST,1140,-0.1,0.26,0.18,-0.27,-0.26,-0.25,-0.44,766
Jordan Adebayo-Smith,MIN,2024,ST,329,-0.06,-0.02,-0.07,-0.15,-0.12,-0.03,-0.45,767
Alex Muyl,NSH,2024,W,2565,-1.25,0.21,0.04,-0.95,1.25,0.25,-0.45,295
Chase Gasper,CHI,2024,FB,274,-0.07,-0.24,-0.05,-0.03,-0.03,-0.03,-0.45,296
Paul Arriola,FCD,2024,FB,2747,-0.41,0.31,-0.42,-0.81,0.46,0.42,-0.46,53
Ronald Donkor,NYRB,2024,CM,1091,0.05,-0.06,-0.08,0.37,-0.46,-0.28,-0.47,550
Xavier Arreaga,"SEA, NER",2024,CB,2450,-0.54,-0.24,0.88,-0.25,-0.25,-0.08,-0.48,174
Matt Miazga,CIN,2024,CB,1593,0.01,-0.1,-0.66,0.53,-0.26,0.01,-0.48,67
Raheem Edwards,MTL,2024,FB,1723,-0.86,-0.27,0.35,-0.15,0.32,0.13,-0.48,410
Theodore Ku-Dipietro,DCU,2024,W,2075,0.17,0.16,0.28,-1.15,0.02,0.02,-0.49,414
Jaylin Lindsey,CLT,2024,FB,366,0.06,-0.0,-0.54,0.07,-0.04,-0.05,-0.49,447
Ajani Fortune,ATL,2024,DM,1525,0.32,-0.24,-0.0,-0.08,-0.39,-0.1,-0.49,872
Tobias Salquist,CHI,2024,CB,1041,0.15,-0.13,-0.25,-0.04,-0.12,-0.09,-0.49,343
Christian McFarlane,NYC,2024,FB,439,-0.09,-0.04,-0.11,-0.21,-0.02,-0.03,-0.49,612
Tayvon Gray,NYC,2024,FB,1893,-0.23,-0.27,0.17,0.14,-0.2,-0.09,-0.49,340
Luís Martins,VAN,2024,FB,876,-0.07,0.05,-0.15,-0.19,-0.08,-0.04,-0.49,1433
Jeremy Rafanello,PHI,2024,AM,396,-0.11,-0.02,0.04,-0.09,-0.2,-0.12,-0.5,626
Kevin O'Toole,NYC,2024,FB,2714,-0.8,0.34,-0.3,-0.24,0.27,0.23,-0.5,525
Danley Jean Jacques,PHI,2024,DM,502,-0.09,0.0,-0.06,-0.19,-0.06,-0.11,-0.52,257
Eryk Williamson,POR,2024,DM,1280,-0.28,-0.01,0.12,-0.1,-0.09,-0.17,-0.53,225
Noel Buck,NER,2024,DM,605,0.0,-0.01,-0.13,0.01,-0.3,-0.1,-0.53,752
Obed Vargas,SEA,2024,DM,2841,-0.07,0.66,0.38,-1.41,0.03,-0.13,-0.54,659
Caleb Wiley,ATL,2024,FB,2145,-0.0,0.05,0.16,-0.39,-0.16,-0.2,-0.54,1440
Serge Ngoma,NYRB,2024,W,182,-0.17,-0.03,-0.04,-0.12,-0.13,-0.05,-0.54,620
Marinos Tzionis,SKC,2024,W,322,-0.21,-0.03,-0.02,-0.23,0.01,-0.05,-0.54,1442
Andrew Farrell,NER,2024,FB,633,-0.07,-0.25,0.19,-0.23,-0.12,-0.07,-0.54,217
