"","Player","Team","Season","Position","Minutes","Passes","Pass %","xPass %","Score","Per100","Distance","Vertical","Touch %","Games"
"","Johnny Russell","SKC","2024","W","1931","755","73.4%","72.7%","5.27","0.70","20.04","1.68","5.9%","29"
"","Joseph Paintsil","LAG","2024","W","2546","894","80.1%","79.5%","5.26","0.59","15.41","-1.86","6.0%","29"
"","Andrew Privett","CLT","2024","CB","3044","1583","85.0%","84.6%","5.19","0.33","25.62","8.81","11.0%","30"
"","Érik Dueñas","LAFC","2024","CM","452","167","89.2%","86.2%","5.11","3.06","16.31","2.47","2.9%","14"
"","Lionel Messi","MIA","2024","W","1690","866","78.8%","78.2%","4.99","0.58","18.82","5.80","8.4%","19"
"","Tommy Thompson","SJE","2024","FB","140","61","93.4%","85.3%","4.99","8.17","17.02","1.85","1.3%","10"
"","Hannes Wolf","NYC","2024","W","2842","1031","77.4%","76.9%","4.91","0.48","14.58","1.37","6.5%","34"
"","Andrés Herrera","CLB","2024","FB","553","224","84.4%","82.2%","4.84","2.16","17.62","0.20","3.9%","10"
"","Fafa Picault","VAN","2024","W","1879","572","77.6%","76.8%","4.76","0.83","17.51","-1.45","5.1%","29"
"","Brad Smith","HOU","2024","W","515","209","78.5%","76.2%","4.75","2.27","16.96","-1.05","1.8%","20"
"","Ben Lundt","STL","2024","GK","273","84","69.0%","63.5%","4.66","5.55","41.55","35.38","5.3%","3"
"","Xavier Arreaga","SEA, NER","2024","CB","2450","1342","87.0%","86.6%","4.63","0.35","23.29","8.10","9.0%","29"
"","Mauricio Cuevas","LAG","2024","FB","429","255","80.8%","79.0%","4.58","1.80","16.88","-1.30","2.3%","18"
"","Noah Allen","MIA","2024","CB","1078","688","87.2%","86.6%","4.56","0.66","20.36","5.17","6.5%","18"
"","Ibrahim Aliyu","HOU","2024","W","2912","886","82.4%","81.9%","4.54","0.51","13.67","-3.34","5.4%","34"
"","Chris Mueller","CHI","2024","W","1520","600","76.8%","76.1%","4.45","0.74","16.34","0.24","4.9%","27"
"","Olivier Mbaizo","PHI","2024","FB","1261","527","78.6%","77.7%","4.40","0.83","18.92","1.83","5.5%","21"
"","Belal Halbouni","VAN","2024","CB","189","120","90.8%","87.2%","4.39","3.66","20.42","6.79","7.7%","3"
"","Noel Buck","NER","2024","DM","605","234","88.5%","86.6%","4.32","1.85","18.97","1.22","3.7%","13"
"","Clint Irwin","MIN","2024","GK","517","147","79.6%","76.7%","4.24","2.89","31.36","24.42","6.3%","5"
"","Dax McCarty","ATL","2024","DM","1076","592","84.8%","84.1%","4.23","0.72","18.80","4.24","5.2%","22"
"","Jaylin Lindsey","CLT","2024","FB","366","268","76.9%","75.3%","4.11","1.53","19.64","4.87","7.5%","7"
"","Cory Burke","NYRB","2024","ST","404","62","58.1%","51.7%","3.97","6.41","17.71","6.79","1.2%","18"
"","Stuart Armstrong","VAN","2024","W","163","82","85.4%","80.5%","3.96","4.82","17.52","2.26","2.6%","6"
"","Reggie Cannon","COL","2024","FB","379","192","85.9%","83.9%","3.87","2.02","16.64","-0.22","6.4%","6"
"","Earl Edwards Jr.","NER","2024","GK","103","41","92.7%","83.4%","3.81","9.30","29.01","20.78","5.4%","1"
"","Lewis O'Brien","LAFC","2024","CM","871","405","85.9%","85.0%","3.81","0.94","17.56","3.83","9.4%","9"
"","Emiliano Rigoni","ATX","2024","W","802","231","71.9%","70.2%","3.78","1.64","20.34","0.03","5.2%","11"
"","Mikkel Desler","ATX","2024","FB","545","263","83.7%","82.2%","3.70","1.41","17.38","2.19","8.2%","7"
"","Hany Mukhtar","NSH","2024","AM","3074","1357","74.9%","74.7%","3.65","0.27","19.83","0.36","9.7%","32"
"","Andrés Reyes","NYRB","2024","CB","1708","725","80.8%","80.3%","3.64","0.50","23.03","8.86","7.3%","23"
"","Quinn Sullivan","PHI","2024","CM","2722","910","72.1%","71.7%","3.62","0.40","17.67","2.86","6.6%","34"
"","Isaiah Parente","LAG","2024","DM","67","53","92.5%","85.8%","3.55","6.69","21.09","2.31","1.3%","6"
"","Andres Jasson","NYC","2024","FB","186","53","90.6%","83.9%","3.53","6.67","12.61","-4.97","4.8%","3"
"","Jonathan Lewis","COL","2024","W","903","220","77.7%","76.2%","3.45","1.57","13.67","-0.83","2.2%","24"
"","Alex Ring","ATX","2024","DM","2930","1335","79.4%","79.1%","3.43","0.26","21.01","3.93","8.2%","34"
"","Kayden Pierre","SKC","2024","FB","498","254","83.1%","81.8%","3.36","1.32","18.81","3.27","7.4%","7"
"","Ryan Raposo","VAN","2024","FB","1766","734","76.2%","75.7%","3.36","0.46","20.23","-1.77","5.2%","30"
"","Marcel Hartel","STL","2024","W","932","416","81.0%","80.2%","3.35","0.80","18.27","0.82","9.0%","9"
"","Matai Akinmboni","DCU","2024","CB","503","215","82.8%","81.3%","3.27","1.52","23.13","7.15","5.8%","8"
"","Diego Luna","RSL","2024","W","2467","1111","81.5%","81.3%","3.24","0.29","17.97","0.20","7.2%","31"
"","Karol Swiderski","CLT","2024","ST","576","99","78.8%","75.5%","3.22","3.25","16.58","-0.68","3.1%","10"
"","Dániel Sallói","SKC","2024","W","2349","783","73.6%","73.2%","3.20","0.41","16.49","-0.25","5.6%","30"
"","Dave Romney","NER","2024","CB","2485","1462","86.5%","86.3%","3.07","0.21","22.53","7.59","10.1%","27"
"","Jeorgio Kocevski","ORL","2024","DM","214","109","78.9%","76.2%","2.98","2.74","15.83","5.35","1.8%","11"
"","Felipe Carballo","NYRB","2024","CM","503","259","83.0%","81.9%","2.91","1.12","20.02","5.95","6.5%","8"
"","Josh Cohen","ATL","2024","GK","240","83","84.3%","80.8%","2.91","3.51","31.08","20.56","4.5%","3"
"","Julio Cascante","ATX","2024","CB","2105","1115","87.4%","87.2%","2.90","0.26","22.63","8.03","9.1%","25"
"","Andrew Farrell","NER","2024","FB","633","394","80.7%","80.0%","2.80","0.71","19.08","4.02","4.8%","14"
"","Matti Peltola","DCU","2024","CB","2552","946","82.6%","82.3%","2.79","0.29","20.79","4.86","7.0%","31"
"","Julian Gaines","NSH","2024","FB","250","130","83.1%","81.0%","2.73","2.10","18.77","-0.59","6.7%","4"
"","Nacho Gil","NER","2024","W","737","295","79.7%","78.7%","2.72","0.92","17.33","2.50","3.7%","17"
"","Steven Birnbaum","DCU","2024","CB","388","172","81.4%","79.8%","2.70","1.57","21.76","10.13","5.8%","6"
"","Dru Yearwood","NSH","2024","DM","1661","666","82.1%","81.7%","2.63","0.39","20.96","3.59","5.8%","25"
"","Tyger Smalls","CLT","2024","W","322","58","74.1%","69.7%","2.56","4.41","17.13","2.32","1.4%","15"
"","DeJuan Jones","CLB, NER","2024","FB","2057","1139","81.7%","81.4%","2.39","0.21","17.70","1.42","7.9%","27"
"","Brandon Bye","NER","2024","FB","863","451","73.2%","72.7%","2.36","0.52","19.82","3.36","6.9%","13"
"","Jonathan Mensah","NER","2024","CB","331","150","88.0%","86.5%","2.31","1.54","21.09","6.23","3.8%","8"
"","Paul Marie","SJE","2024","FB","1716","778","78.0%","77.7%","2.19","0.28","19.14","3.75","6.0%","30"
"","Show","FCD","2024","CM","549","315","85.7%","85.0%","2.16","0.69","18.75","3.46","8.5%","7"
"","Njabulo Blom","STL","2024","DM","1012","400","82.5%","82.0%","2.15","0.54","16.85","3.56","5.3%","16"
"","Eryk Williamson","POR","2024","DM","1280","551","82.8%","82.4%","2.14","0.39","18.20","4.25","4.0%","28"
"","Moïse Bombito","COL","2024","CB","1762","852","84.7%","84.5%","2.08","0.24","22.51","8.41","9.5%","18"
"","Daniel Lovitz","NSH","2024","FB","2545","1411","76.6%","76.5%","2.05","0.15","22.98","6.59","9.8%","28"
"","Noah Cobb","ATL","2024","CB","1546","755","83.4%","83.2%","1.99","0.26","23.83","8.65","7.5%","19"
"","Claudio Bravo","POR","2024","FB","1787","995","76.8%","76.6%","1.96","0.20","20.56","5.77","9.3%","22"
"","Joaquín Pereyra","MIN","2024","W","446","194","73.2%","72.2%","1.93","0.99","18.29","3.32","6.7%","7"
"","Noel Caliskan","RSL","2024","DM","232","144","86.1%","84.8%","1.93","1.34","16.93","2.43","5.3%","5"
"","Lawson Sunderland","MIA","2024","CM","214","113","87.6%","85.9%","1.89","1.67","15.29","0.63","3.7%","5"
"","Luca Petrasso","ORL","2024","W","36","11","81.8%","65.2%","1.83","16.66","22.74","0.24","1.2%","2"
"","Jake Girdwood-Reich","STL","2024","CM","196","82","86.6%","84.4%","1.83","2.23","18.47","2.47","2.0%","8"
"","David Ruiz","MIA","2024","CM","1297","627","87.2%","87.0%","1.81","0.29","16.83","0.38","4.3%","28"
"","Eriq Zavaleta","LAG","2024","CB","182","97","89.7%","87.9%","1.78","1.83","19.02","6.89","3.2%","5"
"","CJ dos Santos","MIA","2024","GK","98","36","91.7%","86.8%","1.76","4.89","30.36","18.67","4.5%","1"
"","Emiro Garcés","LAG","2024","CB","464","241","91.3%","90.6%","1.70","0.71","19.25","4.21","4.3%","9"
"","Marlon","LAFC","2024","CB","152","85","92.9%","91.0%","1.67","1.96","21.96","3.98","3.4%","5"
"","Óscar Ustari","MIA","2024","GK","97","47","89.4%","85.8%","1.67","3.54","27.12","17.45","6.9%","1"
"","Patrick Yazbek","NSH","2024","CM","415","214","87.4%","86.7%","1.58","0.74","18.71","3.72","6.2%","7"
"","Déiber Caicedo","VAN","2024","W","154","49","83.7%","80.5%","1.56","3.19","17.33","-1.57","2.5%","5"
"","Lawrence Ennali","HOU","2024","W","53","21","95.2%","88.1%","1.49","7.11","16.63","-6.65","2.0%","2"
"","Rida Zouhir","MTL","2024","CM","215","137","87.6%","86.6%","1.43","1.04","16.87","1.60","3.3%","7"
"","Liel Abada","CLT","2024","W","1799","477","71.9%","71.6%","1.42","0.30","16.26","1.22","5.1%","24"
"","Wyatt Omsberg","CHI","2024","CB","939","660","85.0%","84.8%","1.40","0.21","23.23","8.85","9.6%","12"
"","Alexander Freeman","ORL","2024","FB","18","15","93.3%","84.1%","1.38","9.20","10.88","-1.19","1.1%","2"
"","Franco Fragapane","MIN","2024","W","987","403","82.4%","82.0%","1.37","0.34","15.66","1.57","3.8%","24"
"","Robert Taylor","MIA","2024","W","1787","619","80.1%","79.9%","1.36","0.22","15.94","-1.35","4.2%","27"
"","Ben Bender","CLT","2024","AM","228","61","78.7%","76.5%","1.34","2.19","18.71","3.58","2.5%","6"
"","Christian McFarlane","NYC","2024","FB","439","155","81.3%","80.4%","1.33","0.86","15.43","-1.90","3.9%","8"
"","Novak Micovic","LAG","2024","GK","200","70","92.9%","91.0%","1.33","1.89","25.22","16.73","4.2%","2"
"","David Ayala","POR","2024","DM","1664","894","85.8%","85.7%","1.32","0.15","23.51","4.43","6.1%","30"
"","Adolfo Enriquez","POR","2024","AM","10","8","100.0%","84.6%","1.23","15.43","23.46","0.86","1.4%","1"
"","Michael Edwards","COL","2024","CB","236","112","89.3%","88.2%","1.23","1.09","21.36","6.49","5.7%","4"
"","Cavan Sullivan","PHI","2024","AM","19","5","100.0%","75.8%","1.21","24.21","22.73","15.41","0.6%","3"
"","Nolan Norris","FCD","2024","CM","230","102","87.3%","86.1%","1.20","1.18","17.12","1.10","5.7%","4"
"","Marino Hinestroza","CLB","2024","AM","427","175","84.0%","83.3%","1.19","0.68","14.27","-2.62","2.3%","16"
"","Ryan Spaulding","NER","2024","FB","526","237","78.1%","77.6%","1.19","0.50","16.66","1.75","4.6%","11"
"","Isaiah Jones","NSH","2024","CM","27","13","92.3%","84.8%","0.97","7.49","22.67","5.13","1.6%","2"
"","Taha Habroune","CLB","2024","AM","120","54","87.0%","85.3%","0.95","1.76","13.32","0.12","2.1%","5"
"","Pep Biel","CLT","2024","W","649","239","74.9%","74.5%","0.92","0.38","19.07","1.78","6.5%","9"
"","Kristijan Kahlina","CLT","2024","GK","3471","1180","78.4%","78.3%","0.90","0.08","34.07","24.63","7.0%","34"
"","Brian Gutiérrez","CHI","2024","W","2668","1115","78.6%","78.6%","0.87","0.08","17.65","3.51","7.3%","32"
"","Jeremy Garay","DCU","2024","ST","19","6","100.0%","85.6%","0.86","14.41","12.32","-2.11","1.0%","2"
"","Alessandro Biello","MTL","2024","CM","24","12","100.0%","93.0%","0.84","7.02","15.88","4.58","1.2%","2"
"","Danny Leyva","SEA","2024","DM","282","180","80.0%","79.6%","0.80","0.44","19.99","3.89","2.9%","12"
"","Daniel Steres","HOU","2024","FB","1343","800","85.3%","85.2%","0.79","0.10","19.36","4.04","6.2%","21"
"","Adam Beaudry","COL","2024","GK","102","20","70.0%","66.1%","0.79","3.93","41.32","33.76","5.0%","1"
"","Luis Barraza","NYC","2024","GK","102","32","84.4%","81.9%","0.78","2.43","29.99","19.59","4.9%","1"
"","Tomas Pondeca","FCD","2024","AM","131","31","80.7%","78.2%","0.75","2.43","16.45","4.21","2.4%","3"
"","Cyprian Kachwele","VAN","2024","CM","6","2","50.0%","13.4%","0.73","36.59","6.24","6.09","0.4%","1"
"","Luke Brennan","ATL","2024","W","207","27","81.5%","78.8%","0.71","2.64","15.55","-2.77","1.8%","7"
"","Nicholas Scardina","CLT","2024","W","7","3","100.0%","76.2%","0.71","23.78","17.19","6.86","0.5%","1"
"","Marinos Tzionis","SKC","2024","W","322","93","81.7%","81.0%","0.71","0.76","15.46","-2.20","2.7%","9"
"","Andrew Tarbell","HOU","2024","GK","330","93","78.5%","77.8%","0.67","0.72","34.51","24.14","3.9%","4"
"","Tucker Lepley","LAG","2024","DM","56","17","94.1%","90.2%","0.67","3.92","19.19","3.87","1.2%","3"
"","Ryan Hollingshead","LAFC","2024","FB","2473","1293","81.6%","81.5%","0.66","0.05","19.42","3.21","8.5%","31"
"","Hugo Bacharach","MIN","2024","CB","104","59","89.8%","88.7%","0.66","1.11","23.51","7.37","10.3%","1"
"","Larrys Mabiala","POR","2024","CB","48","41","90.2%","88.7%","0.62","1.52","19.88","9.20","6.0%","1"
"","Nimfasha Berchimas","CLT","2024","W","40","6","100.0%","89.7%","0.62","10.26","7.53","-2.24","1.2%","3"
"","Michael Baldisimo","SJE","2024","CM","32","7","85.7%","77.0%","0.61","8.75","15.42","0.88","1.4%","2"
"","Tomás Ángel","LAFC","2024","ST","81","22","77.3%","74.6%","0.58","2.66","18.13","-0.21","0.9%","5"
"","Efrain Morales","ATL","2024","CB","288","160","88.1%","87.8%","0.57","0.36","21.96","4.32","7.6%","4"
"","John Klein","STL","2024","W","630","204","75.5%","75.2%","0.53","0.26","13.94","1.22","5.1%","10"
"","Zarek Valentin","MIN","2024","FB","67","11","72.7%","68.2%","0.50","4.53","22.78","7.23","0.7%","4"
"","Nick Firmino","ATL","2024","W","204","55","83.6%","82.8%","0.47","0.86","14.09","0.77","1.6%","8"
"","Jefferson Valverde","HOU","2024","FB","16","9","100.0%","94.9%","0.46","5.10","20.33","8.34","1.4%","1"
"","Sawyer Jura","POR","2024","FB","13","6","66.7%","59.0%","0.46","7.64","16.20","11.72","1.9%","1"
"","Malik Pinto","CIN","2024","CM","227","94","86.2%","85.7%","0.45","0.48","17.87","0.54","1.7%","11"
"","Bruno Wilson","SJE","2024","CB","1160","494","84.8%","84.7%","0.42","0.08","23.94","8.64","8.4%","13"
"","Danley Jean Jacques","PHI","2024","DM","502","184","82.6%","82.4%","0.38","0.21","20.03","4.47","5.5%","8"
"","Tsiki Ntsabeleng","FCD","2024","AM","1226","526","83.3%","83.2%","0.38","0.07","16.73","2.61","4.5%","25"
"","Brent Kallman","NSH","2024","CB","631","280","83.9%","83.8%","0.37","0.13","23.69","11.50","4.7%","13"
"","Rubén Ramos Jr.","LAG","2024","ST","19","5","80.0%","72.6%","0.37","7.36","10.77","-0.70","0.5%","2"
"","Joey Skinner","NSH","2024","W","14","4","75.0%","66.3%","0.35","8.72","20.34","5.48","0.6%","2"
"","Javier Casas","CHI","2024","CM","3","4","100.0%","92.2%","0.31","7.81","4.85","-1.29","0.7%","1"
"","Martín Rodríguez","DCU","2024","CM","1460","746","84.7%","84.7%","0.31","0.04","18.23","2.24","6.8%","25"
"","Cole Mrowka","CLB","2024","AM","5","2","100.0%","85.3%","0.29","14.73","31.90","19.61","0.4%","1"
"","Anthony Ramirez","FCD","2024","DM","13","4","75.0%","67.9%","0.28","7.08","19.73","-4.58","0.8%","1"
"","Zavier Gozo","RSL","2024","ST","19","3","100.0%","91.2%","0.26","8.83","22.47","-1.96","0.8%","1"
"","Carlos Harvey","MIN","2024","CB","1188","520","83.9%","83.8%","0.25","0.05","20.68","6.59","7.2%","18"
"","Matthew Bell","RSL","2024","W","24","12","91.7%","89.7%","0.23","1.94","15.62","-1.81","2.3%","1"
"","Ethan Finlay","ATX","2024","W","955","209","74.6%","74.5%","0.23","0.11","16.08","-1.70","2.3%","22"
"","Benjamin Cremaschi","MIA","2024","CM","1294","605","87.3%","87.2%","0.20","0.03","16.55","0.72","5.1%","22"
"","Omari Glasgow","CHI","2024","AM","49","20","55.0%","54.0%","0.19","0.97","21.89","6.28","2.3%","2"
"","Hassani Dotson","MIN","2024","CM","2520","1161","79.6%","79.6%","0.18","0.02","18.86","4.82","9.2%","29"
"","Zac McGraw","POR","2024","CB","988","598","84.6%","84.6%","0.16","0.03","22.49","6.90","8.4%","13"
"","Luka Gavran","TOR","2024","GK","913","283","75.3%","75.2%","0.13","0.05","34.47","25.93","5.4%","9"
"","Christopher Olney Jr.","PHI","2024","CM","27","8","87.5%","86.3%","0.10","1.21","10.19","-1.33","1.8%","1"
"","Wayne Frederick","COL","2024","AM","4","1","100.0%","90.3%","0.10","9.69","23.58","19.32","0.4%","1"
"","Édier Ocampo","VAN","2024","FB","201","59","74.6%","74.4%","0.09","0.16","18.11","-1.70","2.6%","6"
"","Marcos Dias","NER","2024","W","10","1","100.0%","96.1%","0.04","3.87","23.60","6.09","0.3%","1"
"","Idan Toklomati","CLT","2024","W","26","7","85.7%","85.3%","0.03","0.46","13.83","1.73","2.3%","1"
"","Emanuel Reynoso","MIN","2024","AM","36","22","72.7%","72.6%","0.03","0.13","14.78","5.01","4.9%","1"
"","McKinze Gaines","NSH, HOU","2024","W","361","94","73.4%","73.4%","0.03","0.03","14.69","-3.42","1.5%","15"
"","Talles Magno","NYC","2024","W","91","30","70.0%","70.0%","0.02","0.05","13.25","2.94","2.4%","3"
"","Andre Blake","PHI","2024","GK","1231","287","74.6%","74.6%","0.01","0.01","34.57","26.35","4.5%","14"
"","Jean Mota","MIA","2024","CM","32","12","83.3%","83.3%","0.01","0.07","13.91","1.40","1.0%","2"
"","Marvin Loría","POR","2024","AM","1","0","0.0%","0.0%","0.00","0.00","0.00","0.00","0.0%","1"
"","Will Richmond","SJE","2024","W","7","0","0.0%","0.0%","0.00","0.00","0.00","0.00","0.2%","1"
"","Piero Elias","NYC","2024","W","5","0","0.0%","0.0%","0.00","0.00","0.00","0.00","0.0%","1"
"","Stiven Jimenez","CIN","2024","AM","13","0","0.0%","0.0%","0.00","0.00","0.00","0.00","0.0%","1"
"","Mohanad Jeahze","DCU","2024","DM","5","0","0.0%","0.0%","0.00","0.00","0.00","0.00","0.2%","1"
"","Jamar Ricketts","SJE","2024","W","45","0","0.0%","0.0%","0.00","0.00","0.00","0.00","2.6%","1"
"","Chase Gasper","CHI","2024","FB","274","141","76.6%","76.6%","-0.00","-0.00","19.51","6.77","7.1%","4"
"","Omar Valencia","NYRB","2024","CM","7","4","75.0%","75.1%","-0.00","-0.07","11.61","3.83","1.4%","1"
"","Griffin Dorsey","HOU","2024","FB","2962","1370","78.5%","78.5%","-0.04","-0.00","18.21","-2.68","7.4%","32"
"","Jasper Löeffelsend","COL","2024","DM","453","207","81.2%","81.2%","-0.04","-0.02","18.13","1.49","2.6%","18"
"","Ayo Akinola","TOR","2024","ST","121","24","79.2%","79.3%","-0.04","-0.19","13.90","-1.70","1.3%","5"
"","Mykhi Joyner","STL","2024","W","50","3","66.7%","68.2%","-0.05","-1.54","6.96","-5.52","2.5%","1"
"","Rodrigues","SJE","2024","CB","3073","1538","85.4%","85.4%","-0.05","-0.00","23.20","9.09","10.9%","31"
"","Justin Reynolds","CHI","2024","FB","271","146","78.8%","78.8%","-0.05","-0.03","15.88","-0.55","3.2%","8"
"","Luis Müller","LAFC","2024","W","23","9","77.8%","78.4%","-0.05","-0.61","12.14","-6.03","0.5%","4"
"","London Aghedo","CIN","2024","CB","20","8","87.5%","88.5%","-0.08","-1.00","23.05","6.92","0.7%","2"
"","Scott Arfield","CLT","2024","AM","452","132","81.1%","81.1%","-0.08","-0.06","13.72","-0.35","2.2%","14"
"","Oleksandr Svatok","ATX","2024","CB","476","218","88.5%","88.6%","-0.11","-0.05","22.55","6.27","7.1%","6"
"","Kimani Stewart-Baynes","COL","2024","W","212","48","75.0%","75.3%","-0.12","-0.26","16.30","-1.95","1.2%","12"
"","Lamine Diack","COL","2024","W","43","10","80.0%","81.4%","-0.14","-1.37","11.99","5.31","0.9%","4"
"","Dominik Marczuk","RSL","2024","W","508","174","73.6%","73.6%","-0.14","-0.08","16.29","0.55","5.1%","8"
"","Kwadwo Opoku","MTL","2024","AM","596","173","84.4%","84.5%","-0.17","-0.10","15.19","-1.25","2.4%","16"
"","Russell Canouse","DCU","2024","CM","25","5","60.0%","63.5%","-0.18","-3.50","25.38","14.54","1.0%","2"
"","Damir Kreilach","VAN","2024","ST","558","128","82.0%","82.2%","-0.18","-0.14","14.18","-1.03","1.6%","17"
"","Alec Kann","CIN","2024","GK","303","82","76.8%","77.1%","-0.20","-0.24","33.07","23.57","4.5%","3"
"","Mark-Anthony Kaye","NER","2024","DM","1546","868","84.6%","84.6%","-0.21","-0.02","20.42","4.95","8.1%","21"
"","Paxton Pomykal","FCD","2024","CM","10","12","91.7%","93.5%","-0.23","-1.88","12.94","-0.32","2.0%","1"
"","Reed Baker-Whiting","SEA","2024","FB","932","470","80.2%","80.3%","-0.23","-0.05","18.56","0.10","4.3%","22"
"","Nathan","SEA","2024","CB","103","63","90.5%","90.8%","-0.24","-0.37","20.72","6.47","3.0%","4"
"","Abraham Romero","CLB","2024","GK","141","35","82.9%","83.5%","-0.24","-0.68","28.84","20.75","2.6%","2"
"","Shakur Mohammed","ORL","2024","CM","13","6","83.3%","87.4%","-0.24","-4.03","12.07","2.58","0.7%","2"
"","Célio Pompeu","STL","2024","W","1404","430","64.6%","64.7%","-0.26","-0.06","18.41","4.08","6.8%","17"
"","Antino Lopez","SEA","2024","AM","14","5","60.0%","65.4%","-0.27","-5.38","17.77","15.01","1.0%","1"
"","Evan Bush","CLB","2024","GK","147","55","76.4%","76.9%","-0.29","-0.52","29.49","22.37","4.8%","2"
"","Nicolas Fleuriau Chateau","VAN","2024","FB","50","7","57.1%","61.3%","-0.29","-4.14","11.41","-3.84","1.4%","2"
"","Derrick Jones","CLB","2024","CM","590","364","91.5%","91.6%","-0.29","-0.08","16.78","0.12","2.9%","20"
"","Matthew Edwards","ATL","2024","CB","6","2","50.0%","65.3%","-0.31","-15.35","8.06","5.29","0.6%","1"
"","Júnior Moreno","HOU","2024","DM","33","12","75.0%","77.6%","-0.32","-2.64","23.34","6.81","1.0%","2"
"","Franco Negri","MIA","2024","FB","876","469","80.4%","80.5%","-0.35","-0.08","17.24","2.45","7.3%","11"
"","Samuel Shashoua","MIN","2024","W","37","20","80.0%","82.0%","-0.39","-1.97","13.27","1.97","1.8%","3"
"","Kyle Hiebert","STL","2024","CB","1560","761","80.0%","80.1%","-0.40","-0.05","21.23","6.91","8.1%","20"
"","Yutaro Tsukada","ORL","2024","W","38","12","75.0%","78.4%","-0.41","-3.39","14.53","-0.69","1.0%","3"
"","David Schnegg","DCU","2024","FB","138","59","67.8%","68.5%","-0.41","-0.69","22.58","7.22","6.7%","2"
"","Hayden Sargis","DCU","2024","CB","37","15","86.7%","89.4%","-0.41","-2.75","17.17","4.80","3.8%","1"
"","Dylan Teves","SEA","2024","W","105","36","77.8%","79.0%","-0.43","-1.18","13.92","-0.56","1.4%","6"
"","Alejandro Bedoya","PHI","2024","CM","1677","755","75.0%","75.0%","-0.46","-0.06","16.96","4.26","5.4%","30"
"","Kage Romanshyn Jr","MIN","2024","W","16","5","60.0%","69.6%","-0.48","-9.60","11.70","6.65","1.1%","1"
"","Isaiah Foster","CIN","2024","FB","9","3","33.3%","49.4%","-0.48","-16.04","13.36","-12.99","0.7%","1"
"","Nathan Ordaz","LAFC","2024","W","481","104","80.8%","81.3%","-0.53","-0.51","14.20","-2.58","1.6%","17"
"","Brendan McSorley","STL","2024","ST","14","2","50.0%","77.5%","-0.55","-27.50","22.95","0.98","0.3%","1"
"","Roald Mitchell","NYRB","2024","ST","27","3","33.3%","51.9%","-0.56","-18.55","21.29","13.22","0.8%","2"
"","Loïc Mesanvi","MIN","2024","W","80","14","64.3%","68.4%","-0.57","-4.10","11.85","4.48","2.0%","3"
"","Alonso Jiménez","ATX","2024","DM","32","24","91.7%","94.2%","-0.60","-2.49","16.73","-1.97","2.1%","2"
"","Mohammed Sofo","NYRB","2024","W","33","11","72.7%","78.2%","-0.60","-5.45","10.32","1.92","3.0%","1"
"","Danny Musovski","SEA","2024","ST","656","129","74.4%","74.9%","-0.62","-0.48","14.17","-0.29","1.5%","24"
"","Ramiro Enrique","ORL","2024","ST","1229","265","76.6%","76.8%","-0.62","-0.23","14.50","0.37","3.3%","20"
"","Moses Nyeman","MIN","2024","DM","163","48","79.2%","80.6%","-0.67","-1.40","15.18","5.26","2.9%","4"
"","Malachi Jones","NYC","2024","W","579","145","69.0%","69.5%","-0.72","-0.50","17.77","1.31","3.2%","14"
"","Lassi Lappalainen","MTL","2024","FB","395","169","78.7%","79.1%","-0.75","-0.44","16.48","-0.24","3.2%","11"
"","James Pantemis","POR","2024","GK","1477","543","70.7%","70.9%","-0.75","-0.14","37.17","30.02","6.6%","15"
"","Tommy Silva","RSL","2024","FB","23","7","57.1%","68.0%","-0.76","-10.80","21.77","0.43","2.3%","1"
"","Levonte Johnson","VAN","2024","W","800","153","77.8%","78.3%","-0.76","-0.50","15.78","-1.60","1.9%","25"
"","Rory O'Driscoll","MIN","2024","ST","5","3","66.7%","93.7%","-0.81","-27.07","8.73","-5.98","0.8%","1"
"","Jay Joshua Herdman","VAN","2024","W","15","9","88.9%","98.0%","-0.82","-9.10","16.75","-2.16","1.3%","1"
"","Aleksey Miranchuk","ATL","2024","AM","852","352","75.3%","75.5%","-0.86","-0.24","20.87","4.48","8.3%","9"
"","Kalani Kossa-Rienzi","SEA","2024","FB","19","6","50.0%","64.8%","-0.88","-14.75","10.95","9.40","1.4%","1"
"","Sebastian Kowalczyk","HOU","2024","ST","2389","881","83.9%","84.0%","-0.89","-0.10","16.34","0.04","4.8%","33"
"","Bryant Farkarlun","ATX","2024","W","12","1","0.0%","91.0%","-0.91","-91.00","0.00","0.00","0.7%","1"
"","Cristian Dájome","DCU","2024","FB","2303","646","77.1%","77.2%","-0.91","-0.14","16.56","0.74","5.7%","31"
"","Matt Hedges","ATX","2024","CB","1018","445","85.4%","85.6%","-0.94","-0.21","22.79","8.59","6.3%","15"
"","Ervin Torres","ATX","2024","CM","14","4","50.0%","75.0%","-1.00","-24.99","21.90","0.92","0.5%","1"
"","Eugene Ansah","FCD","2024","AM","533","101","74.3%","75.3%","-1.03","-1.02","15.31","-1.95","1.5%","17"
"","Henry Wingo","TOR","2024","CB","194","104","85.6%","86.6%","-1.06","-1.02","19.25","3.24","5.1%","4"
"","Tyler Miller","DCU","2024","GK","527","202","45.1%","45.6%","-1.06","-0.52","56.25","50.39","9.2%","5"
"","Evan Louro","CIN","2024","GK","104","23","73.9%","78.8%","-1.13","-4.93","33.67","24.81","3.8%","1"
"","Javier Otero","ORL","2024","GK","81","21","71.4%","76.9%","-1.15","-5.49","35.46","26.80","3.2%","1"
