"","Player","Team","Season","Position","Minutes","Passes","Pass %","xPass %","Score","Per100","Distance","Vertical","Touch %","Games"
"","Stian Gregersen","ATL","2024","CB","1987","895","88.3%","85.5%","24.77","2.77","22.63","8.37","7.9%","23"
"","Robin Lod","MIN","2024","CM","2669","1125","80.1%","77.9%","24.62","2.19","17.36","4.86","8.1%","32"
"","Ryan Gauld","VAN","2024","W","2724","1218","75.9%","73.9%","24.56","2.02","21.41","3.26","8.2%","30"
"","Ranko Veselinović","VAN","2024","CB","3092","1574","91.9%","90.4%","24.48","1.56","23.99","5.52","9.5%","32"
"","Samuel Piette","MTL","2024","CM","2348","1387","90.6%","88.8%","24.42","1.76","17.93","2.17","9.0%","27"
"","Marco Farfan","FCD","2024","FB","2262","1047","87.4%","85.1%","24.19","2.31","17.73","3.56","7.8%","26"
"","Dario Zuparic","POR","2024","CB","2533","1295","87.6%","85.8%","24.10","1.86","22.60","7.59","8.8%","28"
"","Maxime Chanot","LAFC","2024","CB","1524","861","92.0%","89.2%","24.06","2.79","22.60","6.45","7.3%","23"
"","Brad Stuver","ATX","2024","GK","3472","1426","77.1%","75.5%","23.80","1.67","34.99","26.97","8.1%","34"
"","Omar González","FCD","2024","CB","960","518","92.7%","88.1%","23.43","4.52","18.97","7.40","6.3%","15"
"","Pedro Gallese","ORL","2024","GK","2992","702","73.7%","70.3%","23.31","3.32","34.44","27.47","4.2%","29"
"","Matty Longstaff","TOR","2024","CM","2472","1477","86.0%","84.4%","22.83","1.55","20.31","3.04","8.2%","32"
"","Timothy Tillman","LAFC","2024","CM","2768","1200","84.2%","82.3%","22.63","1.89","18.54","2.73","8.3%","32"
"","Rémi Walter","SKC","2024","DM","1441","751","91.0%","87.9%","22.49","2.99","20.01","1.15","7.1%","19"
"","Deybi Flores","TOR","2024","CM","2343","1411","85.8%","84.2%","22.15","1.57","20.71","5.67","9.0%","29"
"","Maxime Crépeau","POR","2024","GK","2012","761","78.8%","75.9%","22.06","2.90","35.94","26.53","6.7%","20"
"","Brendan Hines-Ike","ATX","2024","CB","2516","1446","90.5%","88.9%","21.98","1.52","22.50","6.73","9.9%","28"
