"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Strahinja Tanasijević","NYC","2024","CB","1162","0.04","-0.00","-0.59","-0.10","-0.26","-0.10","-1.02"
"","Wikelman Carmona","NYRB","2024","W","1782","-0.42","-0.09","0.24","0.14","-0.85","-0.04","-1.03"
"","Rémi Walter","SKC","2024","DM","1441","-0.18","0.08","0.03","-0.45","-0.42","-0.11","-1.04"
"","Rafael Santos","ORL","2024","FB","2371","-0.60","0.05","-0.31","0.44","-0.54","-0.09","-1.05"
"","Dennis Gjengaar","NYRB","2024","W","1102","-0.77","-0.10","0.20","-0.58","0.37","-0.18","-1.06"
"","Jeong Sang-Bin","MIN","2024","W","2434","-0.95","0.12","-0.60","-0.50","0.87","-0.03","-1.08"
"","Dániel Sallói","SKC","2024","W","2349","-0.37","-0.10","0.04","-0.12","-0.56","0.02","-1.09"
"","Eric Miller","POR","2024","FB","1196","-0.62","0.04","0.09","-0.31","-0.23","-0.07","-1.09"
"","Giacomo Vrioni","NER","2024","ST","2467","-1.44","-0.28","-0.23","-0.99","1.47","0.36","-1.10"
"","David Ruiz","MIA","2024","CM","1297","-0.76","0.03","0.29","-0.63","0.02","-0.09","-1.14"
"","Njabulo Blom","STL","2024","DM","1012","-0.11","0.04","-0.18","-0.47","-0.25","-0.16","-1.14"
"","Kevin Kelsy","CIN","2024","ST","1394","-0.44","-0.00","0.15","-0.19","-0.53","-0.14","-1.15"
"","Kyle Duncan","NYRB","2024","FB","1446","-0.20","-0.42","-0.19","0.08","-0.38","-0.05","-1.16"
"","Dante Sealy","FCD","2024","FB","984","-0.31","-0.04","-0.31","-0.62","0.02","0.10","-1.16"
"","Olivier Mbaizo","PHI","2024","FB","1261","-0.22","-0.26","-0.43","-0.04","-0.16","-0.08","-1.18"
"","Federico Navarro","CHI","2024","DM","791","-0.57","0.01","0.66","-0.86","-0.29","-0.14","-1.19"
"","Corey Baird","CIN","2024","ST","1089","0.00","-0.09","-0.34","-0.47","-0.34","0.03","-1.19"
"","Raúl Ruidíaz","SEA","2024","ST","1504","-1.36","0.12","-0.08","-0.23","-0.45","0.78","-1.23"
"","Ezequiel Ponce","HOU","2024","ST","810","-0.23","-0.15","-0.39","-0.74","0.11","0.16","-1.25"
"","Marco Farfan","FCD","2024","FB","2262","-0.34","0.17","-0.39","-0.58","0.07","-0.18","-1.25"
"","Deandre Kerr","TOR","2024","ST","1133","-0.36","-0.10","-0.20","-0.25","-0.37","0.02","-1.26"
"","Matti Peltola","DCU","2024","CB","2552","-0.13","-0.14","0.57","-0.64","-0.67","-0.24","-1.26"
"","Edwin Cerrillo","LAG","2024","DM","2325","-0.17","-0.07","0.71","-0.71","-0.57","-0.44","-1.26"
"","Ian Harkes","NER","2024","DM","1792","-0.20","-0.01","-0.24","-0.51","-0.24","-0.06","-1.27"
"","Olivier Giroud","LAFC","2024","ST","663","-0.06","-0.06","-0.13","-0.32","-0.42","-0.29","-1.28"
"","Birk Risa","NYC","2024","CB","2511","-0.33","0.22","-0.86","0.25","-0.34","-0.23","-1.29"
"","Sean Davis","NSH","2024","DM","1487","-0.19","0.05","-0.02","-0.54","-0.31","-0.27","-1.29"
"","Jesús Murillo","LAFC","2024","CB","1922","-0.02","0.00","-0.91","-0.07","-0.27","-0.06","-1.32"
"","Patrickson Delgado","FCD","2024","CM","1296","-0.52","-0.27","0.31","-0.70","-0.11","-0.05","-1.34"
"","Prince Owusu","TOR","2024","ST","2074","-0.75","0.04","-0.43","-0.65","0.63","-0.19","-1.35"
"","Peter Stroud","NYRB","2024","CM","946","-0.35","-0.25","0.12","-0.29","-0.31","-0.27","-1.35"
"","Leon Flach","PHI","2024","DM","2027","-0.29","0.06","-0.03","-0.10","-0.62","-0.38","-1.36"
"","Diego Chara","POR","2024","DM","2728","-0.07","-0.49","-0.10","0.29","-0.53","-0.48","-1.38"
